ssc_percentage,hsc_percentage,degree_percentage,emp_test_percentage,mba_percent,status
56.6,64.8,70.2,84.27,67.2,Placed
59,62,77.5,74,67,Not Placed
66.5,70.4,71.93,61,64.27,Placed
64,80,65,69,57.65,Placed
84,90.9,64.5,86.04,59.42,Placed
69,62,66,75,67.99,Not Placed
69,62,69,67,62.35,Placed
81.7,63,67,86,70.2,Placed
63,67,74,82,60.44,Not Placed
84,79,68,84,66.69,Placed
70,63,70,55,62,Placed
83.84,89.83,77.2,78.74,76.18,Placed
62,63,64,67,57.03,Placed
59.6,51,60,75,59.08,Not Placed
66,62,73,58,64.36,Placed
84,75,69,62,62.36,Placed
85,90,82,92,68.03,Placed
52,57,50.8,67,62.79,Not Placed
60.23,69,66,72,59.47,Placed
52,62,54,72,55.41,Not Placed
58,62,64,53.88,54.97,Placed
73,78,65,95.46,62.16,Placed
76,70,76,66,64.44,Placed
70.5,62.5,61,93.91,69.03,Not Placed
69,73,65,70,57.31,Placed
54,82,63,50,59.47,Not Placed
45,57,58,56.39,64.95,Not Placed
63,72,68,78,60.44,Placed
77,61,68,57.5,61.31,Placed
73,78,73,85,65.83,Placed
69,63,65,55,58.23,Placed
59,64,58,85,55.3,Not Placed
61.08,50,54,71,65.69,Not Placed
82,90,83,80,73.52,Placed
61,82,69,84,58.31,Placed
52,63,65,86,56.09,Not Placed
69.5,70,72,57.2,54.8,Placed
51,54,61,60,60.64,Not Placed
58,61,61,58,53.94,Placed
73.96,79,67,72.15,63.08,Placed
65,68,69,53.7,55.01,Placed
73,63,66,89,60.5,Placed
68.2,72.8,66.6,96,70.85,Placed
77,75,73,80,67.05,Placed
76,80,78,97,70.48,Placed
60.8,68.4,64.6,82.66,64.34,Placed
58,40,59,73,58.81,Not Placed
64,67,69.6,55.67,71.49,Placed
66.5,66.8,69.3,80.4,71,Placed
74,59,73,60,56.7,Placed
67,71,64.33,64,61.26,Placed
84,73,73,75,73.33,Placed
79,61,75.5,70,68.2,Placed
72,60,69,55.5,58.4,Placed
80.4,73.4,77.72,81.2,76.26,Placed
76.7,89.7,66,90,68.55,Placed
62,65,60,84,64.15,Not Placed
74.9,57,62,80,60.78,Placed
67,68,64,74.4,53.49,Placed
73,64,77,65,60.98,Placed
77.44,92,72,94,67.13,Placed
72,56,69,55.6,65.63,Placed
47,59,64,78,61.58,Not Placed
67,63,72,56,60.41,Placed
82,64,73,96,71.77,Placed
77,70,59,58,54.43,Placed
65,64.8,69.5,56,56.94,Placed
66,64,60,60,61.9,Not Placed
85,60,73.43,60,61.29,Placed
77.67,64.89,70.67,89,60.39,Placed
52,50,61,60,58.52,Not Placed
89.4,65.66,71.25,72,63.23,Placed
62,63,66,85,55.14,Placed
70,74,65,83,62.28,Placed
77,86,56,57,64.08,Placed
44,58,55,64.25,58.54,Not Placed
71,58.66,58,56,61.3,Placed
65,65,75,83,58.87,Placed
75.4,60.5,84,98,65.25,Placed
49,59,65,86,62.48,Placed
53,63,60,70,53.2,Placed
51.57,74.66,59.9,56.15,65.99,Not Placed
84.2,69.4,65,80,52.72,Placed
66.5,62.5,60.9,93.4,55.03,Placed
67,63,64,60,61.87,Not Placed
52,49,58,62,60.59,Not Placed
87,74,65,75,72.29,Placed
55.6,51,57.5,57.63,62.72,Not Placed
74.2,87.6,77.25,75.2,66.06,Placed
63,67,64,75,66.46,Placed
67.16,72.5,63.35,53.04,65.52,Placed
63.3,78.33,74,80,74.56,Not Placed
62,62,60,63,52.38,Placed
67.9,62,67,58.1,75.71,Not Placed
48,51,58,60,58.79,Not Placed
59.96,42.16,61.26,54.48,65.48,Not Placed
63.4,67.2,60,58.06,69.28,Not Placed
80,80,72,63.79,66.04,Placed
73,58,56,84,52.64,Placed
52,52,55,67,59.32,Not Placed
73.24,50.83,64.27,64,66.23,Placed
63,62,65,87.5,60.69,Not Placed
59,60,56,55,57.9,Placed
73,97,79,89,70.81,Placed
68,56,68,73,68.07,Placed
77.8,64,64.2,75.5,72.14,Not Placed
65,71.5,62.8,57,56.6,Placed
62,60.33,64.21,63,60.02,Not Placed
52,65,57,75,59.81,Not Placed
65,77,69,60,61.82,Placed
56.28,62.83,59.79,60,57.29,Not Placed
88,72,78,82,71.43,Placed
52,64,61,55,62.93,Not Placed
78.5,65.5,67,95,64.86,Placed
61.8,47,54.38,57,56.13,Not Placed
54,77.6,69.2,95.65,66.94,Not Placed
64,70.2,61,50,62.5,Not Placed
67,61,72,72,61.01,Placed
65.2,61.4,64.8,93.4,57.34,Placed
60,63,56,80,56.63,Placed
52,55,56.3,59,64.74,Not Placed
66,76,72,84,58.95,Placed
72,63,77.5,78,54.48,Placed
83.96,53,91,59.32,69.71,Placed
67,70,65,88,71.96,Not Placed
69,65,57,73,55.8,Placed
69,60,65,87.55,52.81,Placed
54.2,63,58,79,58.44,Not Placed
70,63,66,61.28,60.11,Placed
55.68,61.33,56.87,66,58.3,Placed
74,73,73,80,67.69,Placed
61,62,65,62,56.81,Placed
41,42,60,97,53.39,Not Placed
83.33,78,61,88.56,71.55,Placed
43,60,65,92.66,62.92,Not Placed
62,72,65,67,56.49,Placed
80.6,82,77.6,91,74.49,Placed
58,60,72,74,53.62,Placed
67,67,73,59,69.72,Placed
74,66,58,70,60.23,Placed
62,58,53,89,60.22,Not Placed
